"","full_text","display_text_range","retweet_count","favorite_count","lang","followers_count","friends_count","url","description","verified"
"1","The evidence for #climatechange rests on more than just increasing surface temperatures. 🌡️

Find out what the evidence is for climate change in our #ClimateReport on the physical science basis of climate change ➡️ https://t.co/9v7yfoISs0 https://t.co/YU8M36z3yg",238,116,219,"en",394872,906,"https://t.co/7uzKfCkiTp","The Intergovernmental Panel on Climate Change #IPCC is the leading world body for the assessment of #climatechange. RT ≠ endorsement 🌍 👩🏿‍🔬👨🏾‍🔬",TRUE
"2","CHART OF THE DAY: European carbon dioxide emission permits climb to a record high of €100 as lower nat gas prices prompt some companies to re-start production | #ClimateChange https://t.co/9TWlfXGhwS",175,86,295,"en",274999,1454,"https://t.co/W7nvaZpVBR","Energy and commodities columnist at Bloomberg. Co-author of the 'The World for Sale' https://t.co/GAcVleqiqp Any views expressed are my own. jblas3@bloomberg.net",TRUE
"3","Soils are not only home to more than 25% of the Earth’s #biodiversity 🌎 but also help with:

📌Carbon sequestration
📌#ClimateChange mitigation
📌 Food production

Check this infographic by 
@fao
 &amp; discover the potential of #soils in tackling environmental crises⬇️

VIA
@IPBES https://t.co/q6xCjNc94l",279,44,115,"en",159952,4031,"https://t.co/wCCtUUz4yb","Tweets from the Secretariat of the Convention on Biological Diversity. Our Acting Executive Secretary @hdavidcooper",TRUE
"4","RT @GMBeeWell: Apply to the #InOurNature community nature fund! 

💚@InOurNatureMCR are looking to support groups across Manchester with up…",139,3,0,"en",4969,1900,"https://t.co/vKsLx3oWGA","Supporting young people to have a positive impact on their own lives and the wider community. #YoungPeopleCan

Online 9am-4pm Mon-Fri

https://t.co/aDqfgYeN9y",FALSE
"5","RT @ClimatChristo: World Temperature anomalies 22.02.2023

53/53 days in 2023 ...Together, united , we will fry the #Arctic very soon 
Vari…",140,1,0,"en",29,104,NA,"Şiir yazarım climate crisis",FALSE
"6","RT @MalariaWorld: NEWS - How climate change is spreading malaria in Africa.
The New York Times - The mosquitoes that transmit the disease d…",140,1,0,"en",177,1487,"https://t.co/6QdxIDgucc","RESEARCHER (INFECTIOUS DISEASES), 
HOST-PARASITE'S IMMUNE RESPONSE DRUG DESIGN/DISCOVERY ADJUVANT-ANTIGEN TRANSPORT SYSTEM, NATURE LOVER @OfficialPU",FALSE
"7","RT @WRFC_10: A truly fascinating exploration into the vulnerability of recreational fisheries to climate change and the consumption of recr…",140,0,0,"en",5614,5505,"https://t.co/yd6ApRomtf","DEIJA advocate. Fish, Fishing & Conservation. Field Guide to Freshwater Fishes of VA https://t.co/JjZNV9DSmo Bio https://t.co/FpP2jbTSlE",FALSE
"8","RT @AqlilaA: #FossilFuels – coal, oil and gas – are by far the largest contributor to global #climatechange, accounting for over 75%  of gl…",140,18,0,"en",1286,1384,NA,"Mediator & peace and climate activist, Co-Chair of ClimateFast and Canadian Voice of Women for Peace, Bd Mbr Science for Peace mother, grandmother, caring human",FALSE
"9","RT @PCarterClimate: FOOD PRODUCTION CLIMATE CHANGE SHOCKS.  
IPCC AR6 WG2 Climate hazards have increased past 50 years sudden losses produc…",140,35,0,"en",1523,4978,"https://t.co/UaBRv0oNLo","Making sustainability real. Coauthor: The Sustainable Enterprise Fieldbook 2ndEd https://t.co/gvwmC5d5Tt,  https://t.co/BdG96gMCNj",FALSE
"10","RT @CyanistesNord: Looking for a #postdoc interested in using genome editing to understand #temperature tolerance 🐤. Opportunity to write 2…",140,42,0,"en",507,293,NA,"Ecologist studying the interface between global change, policy, agriculture, biodiversity, species interactions and ecosystem services @yannclough@ecoevo.social",FALSE
