"","created_at","id_str","full_text","display_text_range","retweet_count","favorite_count","lang","name","screen_name","followers_count","friends_count","location","description","verified"
"1",2022-12-28 10:00:03,"1608024971095203840","While much more needs to be done to tackle #ClimateChange, it’s important to remember that progress is being made every day.

Through our #ClimatePromise, we work with +120 countries on their climate pledges. Here are 10  countries making progress in 2022: https://t.co/BHoXWVqYcd https://t.co/dA3JD9Ud41",280,22,62,"en","UN Development","UNDP",1856318,1611,"170 countries & territories","Working to end poverty, inequality, and climate change and to advance the #GlobalGoals. Follow our Administrator @ASteiner and visit https://t.co/DDoyMVObSg for more.",TRUE
"2",2022-12-28 08:18:05,"1607999311006113794","The WTO's World Trade Report 2022 was launched at #COP27. This year, the report focuses on trade and #ClimateChange. Here are 4⃣ takeaways from the report.

Read the full report here: https://t.co/rr1Vgm3VIe https://t.co/cxq7mZg6VO",207,19,34,"en","WTO","wto",575349,1002,"Geneva, Switzerland","Official account of the World Trade Organization. You can also follow @OMC_fr en français and @OMC_es en español.",TRUE
"3",2022-12-28 03:00:00,"1607919263733501953","Better peatland management could help halt #biodiversity loss, support #climatechange mitigation and adaptation and improve the livelihoods of communities living in these landscapes 🏞️
#PeatlandsMatter 
#GlobalPeatlandsAssessment report out now👇 https://t.co/5aibLirP4g
@unepwcmc https://t.co/BAQjVbFdrI",279,21,66,"en","UN Biodiversity","UNBiodiversity",155153,4031,"Montreal, QC H2Y 1N9, Canada","Tweets from the Secretariat of the Convention on Biological Diversity. Our Exec Sec @mremae",TRUE
"4",2022-12-29 10:02:36,"1608388002103058436","RT @larryelder: Much of the country is experiencing freezing temperatures. Think goodness they changed it from “global warming” to “climate…",140,10,0,"en","john vickers","johnvic80327029",38,142,"warrington","Retired grandad 3 sons all self employed,7 grandkids love them all. 1 pug and a 90 year old father in law.       Evertonian.",FALSE
"5",2022-12-29 10:02:26,"1608387957534203906","RT @whereisosaji: Weather Machine (2019)

#collage #osaji #digitalcollage #digitalart #osajiarchive #climatechange https://t.co/u4Mru8OGVM",138,1,0,"en","OC George","ocgeorge_",756,590,"Salem","Conceptual Artist exploring the riddles of the human condition. Creative Director. Pan-African. https://t.co/nNtzlrHzoL",FALSE
"6",2022-12-29 10:01:48,"1608387800277176322","The future of our planet depends on the actions we take today. Let's do our part to protect the environment and ensure a sustainable future for all. #climatechange #sustainability",179,0,0,"en","Ξivind Von D💎","EivindVonD",359,378,"Gjerdrum, Norge","Pro $ICE Poker Star
- Content Creator for https://t.co/DHqoLDPwoT - Getty Images Photographer - https://t.co/zIiZdXYrfL",FALSE
"7",2022-12-29 10:01:43,"1608387778429026304","RT @letsreplanet: Learn how we can #RebootFood? Reverse #ClimateChange and restore #biodiversity.

https://t.co/5lbfnz6S6H",122,2,0,"en","Karolina Lisslö","KarolinaLisslo",2098,3281,"www.karolinalisslo.se","Secretary general @letsreplanet @ekomodernism Chair (wo)man of @Mattecentrum. The world is never better than its inhabitants⚛️🌱🐝",FALSE
"8",2022-12-29 10:01:26,"1608387707411263490","RT @UNBiodiversity: The @UN has designated 2023 as the #YearofMillets, recognizing the value of this crop #ForPeopleForPlanet.

Millets off…",140,41,0,"en","India in Sweden & Latvia","IndiainSweden",26081,222,"Stockholm, Sweden","Embassy of India to Sweden & Latvia    🇸🇪🇮🇳🇱🇻",TRUE
"9",2022-12-29 10:01:23,"1608387696103247872","RT @larryelder: Much of the country is experiencing freezing temperatures. Think goodness they changed it from “global warming” to “climate…",140,10,0,"en","Janet Ham, not a biologist.","jehammertime",292,2077,"","Wife, mother, Maineiac, blessed beyond measure. First Amendment is first for good reason. Fully skeptical.",FALSE
"10",2022-12-29 10:00:38,"1608387504662581249","🔜 Soon in #EnvironmentalPolitics #ECPRSeminars
🍃 Carbon neutrality in media worldwide: the emergence of the new norm of the climate change regime
📅 Thu 12 Jan, 15:00 GMT
🗣️ @parizek_m &amp; Jakub Tesař @IPS_FSV_CUNI
🆓 &amp; open to all https://t.co/3QsgkRNNug

#ClimateChange #NetZero https://t.co/ZfIUZ3eGGz",284,0,0,"en","European Consortium for Political Research","ECPR",27233,3244,"Colchester, UK","ECPR is an independent, scholarly association with a mission to advance political science 💙️💛 #StandWithUkraine #ecprjs23 #ecprws23 #ecprgc23 #ecprhouseseries",FALSE
"11",2022-12-29 10:00:36,"1608387499256352771","RT @larryelder: Much of the country is experiencing freezing temperatures. Think goodness they changed it from “global warming” to “climate…",140,10,0,"en","Ante Petrish 27","ante_petrish",988,228,"Anacortes, WA","Whose had ENOUGH with PHONY BIDEN",FALSE
"12",2022-12-29 10:00:33,"1608387486631206912","What are the benefits of #carbon balancing? As well as helping tackle #climatechange, they include:

🟢 An independent Carbon Balanced Paper website to direct your audience
🟢 World Land Trust Carbon Balanced Paper logo 

Find out more details here: https://t.co/nvwpFDtFXv https://t.co/jS4UoEJ2re",271,0,0,"en","Revive Paper","revive_paper",221,175,"","A complete range of recycled, Carbon Balanced graphic papers. The definitive paper solution for sustainable print media.
Paper is a truly circular product.",FALSE
"13",2022-12-29 10:00:22,"1608387438623203328","@elonmusk There is alot of flawed reasoning currently #Climatechange is fact like Gravity we don’t need to questions we need solutions. Climate trolls are enjoying a free ride on Social Media right now they should be questioned.",228,0,0,"en","Oil strike","oil_strike",743,725,"World","Keep dirty fossil fuels in the ground. Protect biodiversity and the few wild spaces left. That or extinction. 330.12ppm",FALSE
"14",2022-12-29 10:00:13,"1608387399498989569","ERC Synergy Grant funded project IMBALANCE P studied how changes in the balance of soil nutrients carbon, phosphorus and nitrogen impact #biodiversity, #climatechange, #agriculture, society and economy. 

🎧 or 👀 how 👉 https://t.co/VMcO83Wcn9

@CSIC @CREAF @IEC @UniofOxford https://t.co/AoGlXJb4LY",273,0,0,"en","European Research Council (ERC)","ERC_Research",142263,482,"Brussels","The European Research Council, set up by the EU, funds top researchers of any nationality, helping pursue great ideas at the frontiers of knowledge. #HorizonEU",TRUE
"15",2022-12-29 10:00:10,"1608387388576862208","“Believe in the power of your own voice. The more noise you make, the more accountability you demand from your leaders, the more our world will change for the better.”- Al Gore

#TuzaOlukan #climatechange #greenenergy #globalwarming #inspirationalquotes",253,0,0,"en","Tuza Adeyemi Olukan","tuzaolukan",325,296,"Norway","Nanogrid  | Computer Vision |Nanotechnology | Renewable Energy | Local content |",FALSE
"16",2022-12-29 10:00:05,"1608387365868916736","RT @larryelder: Much of the country is experiencing freezing temperatures. Think goodness they changed it from “global warming” to “climate…",140,10,0,"en","Climate Crisis","ClimateCrisis_B",406,246,"Planet Earth","Hello everyone, I am a Climate Crisis bot. 🤖 
I retweet hashtags #climatecrisis and #climatechange.
Because it matters. 🌍",FALSE
"17",2022-12-29 09:59:33,"1608387232586686465","RT @larryelder: Much of the country is experiencing freezing temperatures. Think goodness they changed it from “global warming” to “climate…",140,10,0,"en","David Hogg","DavidHo71155831",1384,502,"San Diego, CA","Army Ret Dad from Wales Mom from Guyana. Race/ Human.",FALSE
"18",2022-12-29 09:59:29,"1608387217562677251","RT @larryelder: Much of the country is experiencing freezing temperatures. Think goodness they changed it from “global warming” to “climate…",140,10,0,"en","Mike Taylor","MikeTay65300641",36,358,"","Limited concerns... probably not u or ur agenda",FALSE
"19",2022-12-29 09:59:04,"1608387111094296578","RT @hotchav33: I love apocalyptic photography and my Onlyfans is full of erotic gasmask photoshoots in high quality. Subscribe now and enjo…",140,1,0,"en","FFversatil","FFversatil",0,0,"Valencia, España","vivo en Valencia, busco amistad, colegas y morbo👊🏻🐷 🔞 +18 #gayfisting #gayvalencia",FALSE
"20",2022-12-29 09:58:56,"1608387077451972608","@trainwithclass Without HS2 we simply won’t have the rail capacity for the future to get people &amp; freight off roads and cut transport CO2 emissions to tackle GLOBAL #ClimateChange. Stopping #HS2 isn’t ‘green’ or economical, it’s exactly the opposite",253,0,0,"en","PB Photography #FBPE","PaulMBigland",3376,3187,"","Freelance photographer, Journalist, Blogger, Traveller, NUJ member.",FALSE
"21",2022-12-29 09:58:49,"1608387048985051138","RT @larryelder: Much of the country is experiencing freezing temperatures. Think goodness they changed it from “global warming” to “climate…",140,10,0,"en","Aubrey Stringer","AubreyStringer",233,605,"","Architect, Dad
After 35 years of marriage I have no interest in a new relationship. Photos of beautiful young women need not apply.",FALSE
"22",2022-12-29 09:58:19,"1608386921520152576","With all the uncertainties we are facing, #climateengineering is not a desirable means of combating #climatechange. @behnamtaebi uses an ethics-based approach to try to bring some nuance into the search for technological solutions. 

https://t.co/aU3jNF7id0",257,0,0,"en","TU Delft | Faculteit Techniek Bestuur & Management","tudelftTBM",2250,475,"Delft, the Netherlands","De faculteit @TUDelftTBM verzorgt toonaangevend internationaal georiënteerd onderzoek en onderwijs op het raakvlak van Techniek, Bestuur en Management.",FALSE
"23",2022-12-29 09:57:59,"1608386840188289025","Insects are the incredible engine room of the planet ensuring ecosystems work. They are under siege by human-caused #climatechange #deforestation #pollution. Report via @PNASnews. Help them and #Boycott4Wildlife https://t.co/bTkFej1ZQn via @palmoildetect",254,0,1,"en","Pehicc","_Pehicc",12517,9980,"","Identical twin. Love animals MUCH more than humans! Will speak up for ALL animals until my very last breath. Vegan.",FALSE
"24",2022-12-29 09:57:07,"1608386619802894336","Check out this photograph / digital artwork that would look great framed and hanging on your wall in your home or office, or produced on a variety of products! https://t.co/d1dg1N4ru2! https://t.co/kYYizXjXdn 
#BuyIntoArt #AYeaForArt #Denia #Spain #pollution #climatechange",273,0,0,"en","John Hughes Photographic Art","JohnHug2000",4043,4061,"Spain","Photographer on the  Fine Art America / Pixels and Pictorem websites
https://t.co/X82lwKUNlC…
https://t.co/H9Ez9LKqPU",FALSE
"25",2022-12-29 09:56:55,"1608386570909794304","RT @larryelder: Much of the country is experiencing freezing temperatures. Think goodness they changed it from “global warming” to “climate…",140,10,0,"en","Mitch Colanino","mcolanino",51,721,"","To err is Human, to arr is pirate!",FALSE
"26",2022-12-29 09:56:35,"1608386488152084480","Weather Machine (2019)

#collage #osaji #digitalcollage #digitalart #osajiarchive #climatechange https://t.co/u4Mru8OGVM",96,1,2,"en","Osaji.Osaji","whereisosaji",6,9,"","mental noise daily by @ocgeorge_  (ig: osaji.osaji)",FALSE
"27",2022-12-29 09:56:06,"1608386364160225285","RT @ESAEcosphere: Using nearly 3 decades of survey data for Wisconsin #BrookTrout and #BrownTrout, new research shows how #ClimateChange im…",140,7,0,"en","G M Masum Billah","guitarfishmasum",1957,2805,"Dhaka, Bangladesh","#Wildlife #biologist and #marine #conservationists. Working about #sharks, #rays #sawfish conservation and citizen science fishermen with @thewcs Bangladesh.",FALSE
"28",2022-12-29 09:55:51,"1608386302680137729","RT @UKrubbishwalks: I think of every piece of litter I pick up as an apology to the planet, and quite frankly, as a species, I don’t think…",139,33,0,"en","Steve Barley","SquirrelManOfH",273,491,"Herts, England","Eccentric creator of squirrel obstacle courses on YouTube, retired teacher, writer and inventor of the phuzzl.",FALSE
"29",2022-12-29 09:55:23,"1608386186011381761","RT @IAEANE: As the 🌍 acts to fight #ClimateChange, @iaeaorg projections for the potential growth of #NuclearPower are on the rise! 📊 The hi…",140,6,0,"en","Danijel Levičar","DanijelLevicar",144,168,"Krško. Slovenia","🟩Prihodnost je svetla. The future is bright🟩",FALSE
"30",2022-12-29 09:55:23,"1608386183888863234","Here's why India needs to build a robust framework to facilitate energy transition.

@shreya_jai reports

#India #energysector #climatechange 

https://t.co/AVWCp2H14L",167,0,1,"en","Business Standard","bsindia",2227722,455,"India","Latest news on the economy, companies, markets, politics and technology from India's leading business daily.",TRUE
"31",2022-12-29 09:55:17,"1608386159566262273","RT @larryelder: Much of the country is experiencing freezing temperatures. Think goodness they changed it from “global warming” to “climate…",140,10,0,"en","Doo Da Daddy","DooDaDaddy1",406,3280,"Battleground, CA","Truth matters.",FALSE
"32",2022-12-29 09:54:56,"1608386071825616896","Much of the country is experiencing freezing temperatures. Think goodness they changed it from “global warming” to “climate change”!

(FLASHBACK) Larry Elder: A Look At ‘Climate Change’ Forecasts

https://t.co/oeSTGzbT4M

#ClimateChange https://t.co/dm5cM4006R",236,10,64,"en","Larry Elder","larryelder",1285171,308,"LarrywithEpoch.com","The Sage from South Central. Join me, because we've got a state and a country to save.",TRUE
"33",2022-12-29 09:52:11,"1608385379186401281","@WupYPS latest with @USAID/Egypt #ClimateActionNow🌍

Check out this video of Nada, who is studying renewable energy at Mansoura University through a USAID scholarship. She’s working on reusing plastic waste to produce green energy &amp; combat #ClimateChange! https://t.co/zuJI70adMz https://t.co/S5ROI5iFOX",283,0,0,"en","WupY PS","WupYPS",159,21,"Cairo, Egypt","Stay Home, Spread Awareness and Be Safe خليك بالبيت - WupY-PS a company based in Egypt offering different video production services and Events Management",FALSE
"34",2022-12-29 09:51:23,"1608385179747516418","@WupYPS latest with @USAID/Egypt #ClimateActionNow🌍

Check out this video of Nada, who is studying renewable energy at Mansoura University through a USAID scholarship. She’s working on reusing plastic waste to produce green energy &amp; combat #ClimateChange! https://t.co/7ww6KdM6O9 https://t.co/8OumZEdmbK",283,0,0,"en","Abdullah Mosaad","AbdullahMosaad",998,220,"Cairo, Egypt","Physiotherapist | Media Producer | Livestream Expert | Founder & CEO of @WupY @WupYPS | Award Winning (World's Best e-Content on MDGs) https://t.co/u4PhigE8YX",FALSE
"35",2022-12-29 09:51:05,"1608385101888356355","7 highlights of #Egypt's 'Waste 50 by 2050' initiative in #african

#AfricansConfrontClimateChange
#ClimateAction #ClimateChange #Waste50by2050

https://t.co/SQz0yDx2DR",168,0,0,"en","DevDispatch","dev_dispatch",685,1182,"","Bringing you #ClimateChange, #AfCFTA, global development and social impact knowledge one publication at a time #ClimateForTheFuture #DiscoverAfCFTA",FALSE
"36",2022-12-29 09:50:57,"1608385070615912449","RT @MyZeroCarbon: .
#Food4Thought
#ClimateChange ‘overtakes pandemics as biggest global concern’ 
@WEF

survey of global risks found #Clima…",140,4,0,"en","Jane Davidson","JaneBryngwyn",5710,4033,"west Wales","Passionate about acting on #climate & #nature. Chair #WalesNetZero2035 Author #futuregen. Patron CIEEM. Former Welsh Government Education & Environment Minister",FALSE
"37",2022-12-29 09:50:51,"1608385044846108677","RT @NITIAayog: Do you have innovative ideas to fight #ClimateChange? 💡

#LiFE Global Call for Ideas is inviting #BehaviourChange solutions…",139,11,0,"en","Amit jha","Amitjha58441242",3,88,"New Delhi, India","",FALSE
"38",2022-12-29 09:50:47,"1608385025929510913","Another Win for Renewables.

#svenvanzanten #solar #renewables #climatechange #sustainability #Environment #Energy #CleanEnergy #electricity #solarenergy #SolarPower #energietransitie #zonnepanelen #klimaat #Nederland https://t.co/3yTa3GaHFm",217,0,1,"en","Sven Van zanten","SvenVanZanten01",852,978,"Netherlands","Welcome to the twitterpage of Sven van Zanten. Sharing knowledge about future proof energy solutions, fighting climate change using technologic innovation.",FALSE
"39",2022-12-29 09:50:38,"1608384991498752006","RT @NITIAayog: Do you have behavioural solutions to fight #ClimateChange? 💡

The countdown has begun ⏳
👉 Share your ideas with us by 31st D…",140,12,0,"en","Amit jha","Amitjha58441242",3,88,"New Delhi, India","",FALSE
"40",2022-12-29 09:48:30,"1608384451498905603","Really good article by @NewYorker on the challenges we have ahead. Yes, it is long, but worthwhile reading indeed! Grab a coffee and get valuable insights! #climatechange #environment   https://t.co/VrE130djNH",209,0,0,"en","Carsten Svensson","AcousticCarsten",1759,4198,"Malmö, Sweden","Working with the digital sustainability platform - Prodikt. Previously worked with acoustics. Love football/footvolley, piano and Mandarin. All views are mine.",FALSE
"41",2022-12-29 09:48:07,"1608384355495456768","RT @UKrubbishwalks: I think of every piece of litter I pick up as an apology to the planet, and quite frankly, as a species, I don’t think…",139,33,0,"en","Erwin Harvey","harvey_erwin",52,119,"","",FALSE
"42",2022-12-29 09:47:55,"1608384304878612485","RT @UKrubbishwalks: I think of every piece of litter I pick up as an apology to the planet, and quite frankly, as a species, I don’t think…",139,33,0,"en","Larissa 🌊","Lari_la_Mare",327,901,"Belgium","EU citizen. Art lover. Passionate traveler. Believer in 👧🏻 empowerment. ❤️the☀️🌊🚲& ❤️Cluj-Napoca! Former #RO2019EU V=own. RT ≠ endorsement.",FALSE
"43",2022-12-29 09:47:24,"1608384175152992258","@drg1985 There is a huge difference in the science of the two areas. #ClimateChange has occured over millennia, well before humans. Cowpox Vaccination much more recent, in 1796 to prevent Smallpox &amp; can be verified statistically @drg1985 @theRSAorg",252,0,0,"en","David Elliott FRSA MBGA","techsconsult",170,418,"London","Infantry & former Lt. Col RAOC.  Business career JLP. Professional Information Technology Consultant since 2003.",FALSE
"44",2022-12-29 09:46:01,"1608383828023967744","There is evidence that air pollutants contribute to #climatechange. As a response from the state to promote #climateaction, Karnataka Pollution Control Board recently announced monetary rewards for industries meeting environmental regulations. 
@TN_PCB https://t.co/5pgfrAg6d8",276,0,2,"en","ClimateConnection","ClimateC_CAG",219,473,"Chennai","An initiative of @CAGChennai to create policies and help communities to embrace renewable energy, navigate energy transition and mitigate climate change.",FALSE
"45",2022-12-29 09:45:23,"1608383666853679109","RT @FriendsOScience: @RWMaloneMD Well well well. WEF wants a global #priceoncarbon by 2030. Russia? ""Hold my vodka"" https://t.co/vLsgBt61wP…",140,3,0,"en","Pat Trivers","PatTrivers",72,375,"","",FALSE
"46",2022-12-29 09:45:22,"1608383663720341504","RT @liarsinc2: .@neildoctorfox @GBNews Staycations are about forcing you to stay in the UK, as the politicians STEAL YOUR MONEY to keep you…",140,12,0,"en","Rupert Tomlin","RupertTomlin",692,2508,"","#Bitcoin",FALSE
"47",2022-12-29 09:45:10,"1608383613699072000","Sara Perry of @VeoliaUK doing a great job on #BBCBreakfast today, talking about #foodwaste #compost and tackling #climatechange 😀♻️",131,0,0,"en","Ray Georgeson ♻️🌍","raygeorgeson",4284,3178,"Scottish Borders🏴󠁧󠁢󠁳󠁣󠁴󠁿","environmentalist, recycler, humanist ❤️ family, Northern & Celtic lands,Utd,synths & guitars & more! Busy Dad Taxi for sporty sons. Tries to garden. #ZeroWaste",FALSE
"48",2022-12-29 09:44:51,"1608383534510796801","RT @banegaswasthind: #BanegaSwasthindia | Setting the 2023 Agenda, how can India tackle #hunger, #malnutrition and ensure food and #nutriti…",140,2,0,"en","Sudarsan Rapaka","SudarsanRapaka",53,75,"Razole, India","Dream boy......
#faithinjesus",FALSE
"49",2022-12-29 09:44:11,"1608383366025609216","#Germany tells you to shower once a week and use a sink and not a shower .. is there a punishment? Oh GOD .. oh God .. what if they catch you in .. A BATH?!

 😱😱😱 Ober the #EnergyCrisis and #ClimateChange?! 

https://t.co/zOXfGW6YMR",232,0,0,"en","King Arthur & Excalibur","OscarsWild1",3298,3239,"London","Scientist, @ 'saintallnights' on Minds & GETTR , @ 'allnights' Parler, @ 'allnights' GAB Astrophysics, Zoology, software engineer wanted by GCHQ, offered PhD",FALSE
"50",2022-12-29 09:41:55,"1608382794509725702","#BigGovernment and #BigTech colluding with each other to push the (fake) #ClimateChange agenda the same way they did with #COVID19 

You're getting played again!!! https://t.co/unx7y5udiJ",163,0,0,"en","Jason Q Bourne","jasonQbourne",132,185,"In your head rent free","I'm allowed access back onto Twitter. I identify as invisible. I was Bourne visible & I'm now trans-parent. My pronouns are Who/Where. Here to offend the WOKE",FALSE
"51",2022-12-29 09:41:46,"1608382758971396098","RT @IndiaToday: .@bidishasaha1996 and @Ghongha007 track the climate catastrophes that hit the planet in 2022. #climatechange

https://t.co/…",140,2,0,"en","ROHAN J. GONSALVES","rjgms",711,5001,"Mangalore","Ex-Marine Engineer, Spot/Physical-Derivatives Commodity Trader, Atheist. @SolentUni Alum.",FALSE
"52",2022-12-29 09:41:05,"1608382586145099783","RT @letsreplanet: Learn how we can #RebootFood? Reverse #ClimateChange and restore #biodiversity.

https://t.co/5lbfnz6S6H",122,2,0,"en","Tyrone Dlisle","TDlisle",502,604,"Queensland","Father, Gamer, and Activist. Passionate about Social & Environmental justice. Ecomodernist. 

Part of the @letsreplanet team.
Opinions are my own.",FALSE
"53",2022-12-29 09:40:57,"1608382553484038149","Water pollution results when contaminants are introduced in water bodies
#wmt #whereismytree #waterpollution #pollution #BacterialDiseases #cholera #Typhoid  #plantatree #climatechange #airpollution #water #plasticpollution #environmentalist #savetheoceans #ecofriendly #earthday https://t.co/hXuHztuziw",279,0,0,"en","WhereismyTree","Whereismy_Tree",32,54,"India","Grow Trees!!
Protect Climate!!
On the path to be environmental conscious citizens

""Grow your trees with us. WHEREISMYTREE will take care for next 20 years :)""",FALSE
"54",2022-12-29 09:40:19,"1608382391839608833","RT @banegaswasthind: #BanegaSwasthindia | Setting the 2023 Agenda, how can India tackle #hunger, #malnutrition and ensure food and #nutriti…",140,2,0,"en","NDTV","ndtv",17648490,15,"India","Breaking news alerts from India.

Instagram: https://t.co/QrV2OUiLWo
YouTube: https://t.co/INzHBLXmft",TRUE
"55",2022-12-29 09:39:41,"1608382234628874244","RT @PaulMBigland: @greenbeltnagger @rh52d @garywfox 1. The 'destruction' by #hs2 is massively overstated. 2. Keeping what we had isn't goin…",140,1,0,"en","Lucifer’s darker side","LuciferSide",94,231,"","laughing at idiots since 1066",FALSE
"56",2022-12-29 09:38:31,"1608381940281008128","Learn how we can #RebootFood? Reverse #ClimateChange and restore #biodiversity.

https://t.co/5lbfnz6S6H",104,2,4,"en","RePlanet","letsreplanet",4576,189,"Europe","We’re a citizens movement. We want to stop climate change, reverse biodiversity loss, create more space for wild nature, and help emerging countries develop.",FALSE
