"","full_text","display_text_range","retweet_count","favorite_count","lang","followers_count","friends_count","url","location","description","verified","default_profile"
"1","To avoid the worst impacts of #ClimateChange, investments are needed into alternative energy sources that are;
✅ clean
✅ accessible
✅ affordable
✅ sustainable and
✅ reliable.

5 reasons why renewable energy is a great alternative https://t.co/0rn9of5ZIO",253,126,283,"en",1261631,2997,"https://t.co/fxXhQKw5ly","Nairobi, Kenya","Official account of @UN Environment Programme. Updates on triple planetary crisis: climate change, nature & biodiversity loss, & chemicals, pollution & waste",TRUE,FALSE
"2","Earth's natural carbon sinks are critical for slowing down #ClimateChange.🌿🌳🌏

In fact, soil contains more carbon than you might have imagined! 🪱

A @visualcap infographic shows how much carbon is stored in different ecosystems. https://t.co/xlxNbXMu6g",228,89,245,"en",155369,4031,"https://t.co/wCCtUUywID","Montreal, QC H2Y 1N9, Canada","Tweets from the Secretariat of the Convention on Biological Diversity. Our Exec Sec @mremae",TRUE,FALSE
"3","Reliance on use of fossil fuels to generate energy is causing #ClimateChange and affecting land, ocean and the atmosphere.

Here are 5 actions to transform our energy system and speed up the shift to renewable energy.

https://t.co/u5YDnCc8fL",242,79,139,"en",1261631,2997,"https://t.co/fxXhQKw5ly","Nairobi, Kenya","Official account of @UN Environment Programme. Updates on triple planetary crisis: climate change, nature & biodiversity loss, & chemicals, pollution & waste",TRUE,FALSE
"4","RT @PNS_News: Farmers Mix Trees, Crops, Livestock to Fight #ClimateChange - https://t.co/3WkfkdWplu https://t.co/QLlzasj4SC",123,1,0,"en",27,27,NA,"","",FALSE,TRUE
"5","RT @FCM_online: The Partners for Climate Protection program has grown to over 500 members, representing +70% of Canada’s population. Find o…",140,1,0,"en",1268,1965,"https://t.co/ZLAV1ZYSEq","Toronto, ON","GenX urbanite who, sadly, doesn't have a cat. No personal/family tweets. (Except my dog & my house that's falling apart.) PSA: compulsive re-Tweeter",FALSE,FALSE
"6","RT @jphoganorg: @AtlanticCouncil @ACGlobalEnergy #118thCongress w/ human bodies electric in #TrustTheScience to #WrathOfGod &amp; #ActsOfGod st…",144,1,0,"en",1500,3884,"https://t.co/xoCfJmxgoL","jph@jphogan.org","Artist / Moralist

RT not endorsements! RTs @ 'to read later' links too! https://t.co/xoCfJmxgoL",FALSE,FALSE
"7","Con gli obiettivi climatici attuali, entro la fine del secolo non ci saranno praticamente più ghiacciai in Europa centrale #climatechange  https://t.co/5QZTVRy7Zb",162,0,0,"it",17160,1005,"https://t.co/eUKmkjhSze","Lugano, Svizzera","Benvenuti sul portale della Radiotelevisione svizzera per il pubblico italiano (e italofono).",TRUE,FALSE
"8","RT @UNEP_NYO: Conservationist &amp; @UNEP #EarthChamp Tino Aucca Chutas visited @UN HQ &amp; met with #UNEP NYO Director @JamilBAhmad. Tino’s work…",147,3,0,"en",410,3090,NA,"Yemen","Chairman of International Youth Council-Yemen (IYCY).",FALSE,TRUE
"9","@AtlanticCouncil @ACGlobalEnergy #118thCongress w/ human bodies electric in #TrustTheScience to #WrathOfGod &amp; #ActsOfGod still recognized as indivisible from #weather #ClimateChange.

#JohnKerry too as #ClinateCzar of decisions of #SolutionsTyranny &amp; as belittle #Lord?

Purse strings @ parties admit #Dems ERRS? https://t.co/3VPcjSpDm0",320,1,0,"en",1500,3884,"https://t.co/xoCfJmxgoL","jph@jphogan.org","Artist / Moralist

RT not endorsements! RTs @ 'to read later' links too! https://t.co/xoCfJmxgoL",FALSE,FALSE
"10","Climate Change Is Real. 

#ClimateActionNow #ClimateChange #ClimateChangeIsReal 

https://t.co/zi3ankHXvu https://t.co/jUpTCfEqEU",105,0,1,"en",1310,485,"https://t.co/s3UXhJrSJz","Indianapolis, IN","Flags are powerful tools of change. So we make good flags for good causes and donate a portion to world changing orgs. 🏴 ✊🏳️‍🌈🌏",FALSE,TRUE
