"","full_text","display_text_range","retweet_count","favorite_count","lang","followers_count","friends_count","url","location","description","verified","default_profile"
"1","To avoid the worst impacts of #ClimateChange, investments are needed into alternative energy sources that are;
✅ clean
✅ accessible
✅ affordable
✅ sustainable and
✅ reliable.

5 reasons why renewable energy is a great alternative https://t.co/0rn9of5ZIO",253,127,283,"en",1261650,2997,"https://t.co/fxXhQKw5ly","Nairobi, Kenya","Official account of @UN Environment Programme. Updates on triple planetary crisis: climate change, nature & biodiversity loss, & chemicals, pollution & waste",TRUE,FALSE
"2","Earth's natural carbon sinks are critical for slowing down #ClimateChange.🌿🌳🌏

In fact, soil contains more carbon than you might have imagined! 🪱

A @visualcap infographic shows how much carbon is stored in different ecosystems. https://t.co/xlxNbXMu6g",228,90,247,"en",155370,4031,"https://t.co/wCCtUUywID","Montreal, QC H2Y 1N9, Canada","Tweets from the Secretariat of the Convention on Biological Diversity. Our Exec Sec @mremae",TRUE,FALSE
"3","India leads the fight against #climatechange, clears $2.11 billion incentive 

@PriyankaSh25 brings you this report by @sidhant

Watch more: https://t.co/AXC5qRugeb https://t.co/pCg6GQDP8d",164,24,216,"en",470860,97,"https://t.co/cpofgi0ao0","India","WION: World Is One | Welcome to India’s first global news network. We present global stories with an Indian perspective. 
Download App - https://t.co/2i3wWb5uaN",TRUE,FALSE
"4","RT @KonstantinosSun: The African elephant population has shrunk from 26 million in the 1800s to 415,000 today. Apart from the direct impact…",140,9,0,"en",1514,2917,NA,"Virginia, USA","Psychologist. Wannabe Astronomer. FIERCE LIBERAL. Proud Science Nerd. Animal Lover. Beekeeper. UVA ‘92 #LockHimUp #HillaryWasRight 🐝🌈🌎👽🐈 #UFO",FALSE,TRUE
"5","RT @AntarcticaSouth: #ClimateChange is fundamentally altering the planet, including #Antarctica.
Black carbon, a powerful short-lived clima…",140,6,0,"en",1623,2207,NA,"North & South Pole Circumpole","new virtual club. eclectic mix of Polar reports, books, journals & more- humanities sciences art history all genres. tweets @caroldevine",FALSE,FALSE
"6","RT @AquaNutProf: We've looked at global impacts of #climatechange on fish omega-3s...now we did an in vivo study with Atlantic salmon and f…",140,4,0,"en",615,777,"https://t.co/yFbu7G3Xdn","Toronto, Ontario","Crazy Fish Guy | @munocean Ph.D. Candidate in Marine Biology | Investigating Ways To Minimize the Impact of Climate Change on Salmon Aquaculture | he/him 🏳️‍🌈",FALSE,TRUE
"7","RT @dr_xeo: Let's remember another record of 2022, a global summer anomaly of 1.6ºC for the whole Mediterranean Sea at the same level as in…",140,25,0,"en",7176,259,"http://t.co/1JtbU3n7","España","Asociación Española de Geografía. Una asociación al servicio de la difusión de la Geografía.",FALSE,FALSE
"8","RT @Ilyasdawaleh: Imagine 190mm rain fall in 4hours time Vs usual yearly average of 120mm.#Djibouti is a high risk #Climatechange vulnerabl…",140,40,0,"en",898,634,NA,"Tuzla Bosna i Hercegovina","Nikad nije kasno
https://t.co/fXvBfT6s7j",FALSE,FALSE
"9","Can #climatechange happen without requiring anyone to reach deeper into their pockets?

#bidensamerica #ClimateStrike #ClimateCrisis #cnn #msnbc #ClimateScam #congress #vaccinedeath https://t.co/tPmmyTacwh",181,1,1,"en",2941,228,"https://t.co/d7s4mVk90n","Connecticut","Personal opinion zone here. Award-winning Information Tech keynote speaker. Recovering ex #Gartner analyst. Champion of Liberty at every opportunity.",FALSE,FALSE
"10","RT @MwelxTax: @ZescoL I said #climatechange ... they'll say many things. But nothing will improve if we don't start to adapt. Starting with…",140,2,0,"en",3947,2664,"https://t.co/HkAB2Eo3bJ","Zambia","2019 Ngoma Award Winner • Feminist • Afrocreative • Marketer• Writer: @NkwaziMag @amakastudio @AfriFeminists • IG: @sadblanketsclub  https://t.co/2GqbCSjK1Z",FALSE,FALSE
